p:alpha,p:batch_size,p:coord_feat,p:latent_ch,p:lift_act,p:lr,p:num_FNO,p:num_modes,p:num_projs,p:optimizer,p:padding,p:padding_type,p:proj_act,p:proj_size,p:weight_decay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:TrainLoss,m:valLoss,m:ValR2,m:testLoss,m:testRollout
0.9197626059605144,19,False,13,relu,0.0011811178004584326,12,27,12,RMSprop,12,circular,logsigmoid,7,0.004691925536830844,-0.03575452044606209,1.9915504e-07,346,0.0885472297668457,126.57809329032898,1709343172.2863421,1709343298.51871,[0.060538009942873665],[0.03575452044606209],"[-62.14653778076172, -0.006093263626098633, -0.0005220174789428711, -0.0002027750015258789, -0.0005849599838256836]",0.03571920841932297,-2.9468872e-10
0.17481016637302763,194,True,7,softsign,4.726006894139875e-06,16,25,6,Adadelta,3,circular,identity,27,0.04527490843155993,-0.16140420734882355,-5.042873e-09,229,0.08681488037109375,127.10200667381287,1709343172.2860708,1709343299.0251338,[0.028037763925062284],[0.16140420734882355],"[-76422.671875, -0.8350414037704468, -3.673407554626465, -0.5214865207672119, -4.7186384201049805]",0.16159598529338837,-3.6562696e-08
0.4462751778375983,122,True,5,relu6,0.0014580996602344299,9,16,16,Adam,10,circular,threshold,26,0.06507370750667558,-0.0413765124976635,4.714897e-08,102,0.08493971824645996,127.75173902511597,1709343172.3061967,1709343299.6919427,[0.0374847171207269],[0.0413765124976635],"[-2130.90380859375, -0.34552574157714844, -0.03375720977783203, -3.382096767425537, -0.01328885555267334]",0.04135289788246155,-7.2687706e-10
0.04675162821014268,228,True,13,selu,3.2500183291856663e-06,19,29,8,AdamW,8,constant,logsigmoid,4,0.04289545386125229,-0.9613728523254395,4.1220582e-07,33,0.08388137817382812,131.1528251171112,1709343172.2814755,1709343303.0940473,[0.04493858199566603],[0.9613728523254395],"[-33495388.0, -4.7942047119140625, -1.246302843093872, -43.76826477050781, -128.1986083984375]",0.961444616317749,-1.3316304e-09
0.48231333500785645,42,False,8,squareplus,0.00019019772867147808,10,18,15,RMSprop,13,circular,tanhshrink,30,0.03147041884077812,-0.1113334372639656,3.989404e-08,268,0.08738994598388672,131.89596343040466,1709343172.2683718,1709343303.8370712,[0.054435844134007184],[0.1113334372639656],"[-0.002617478370666504, -0.3238006830215454, -2.349989414215088, -0.00020885467529296875, -2.9802322387695312e-06]",0.11148501187562943,-5.747481e-10
0.9444561523677595,150,False,12,relu6,0.0008061741867137034,13,12,9,SGD,7,circular,hardtanh,31,0.00019031259699624496,-0.10427859425544739,1.8074164e-06,59,0.08428430557250977,131.99410963058472,1709343172.2828496,1709343303.9346395,[0.11540400609374046],[0.10427859425544739],"[-98135.1640625, -2.2712714672088623, -1.8203387260437012, -2.492799997329712, -1.7917375564575195]",0.10438934713602066,5.695425e-07
0.12231598870892127,185,False,7,prelu,0.0012604633037343208,32,8,3,AdamW,15,constant,softshrink,3,0.08046811251910843,-0.11401620507240295,5.795551e-08,159,0.08578872680664062,134.5697672367096,1709343172.2669804,1709343306.5101306,[0.014073551818728446],[0.11401620507240295],"[-0.007268071174621582, -0.4459953308105469, -2.427844524383545, -0.0008717775344848633, -6.389617919921875e-05]",0.11416888236999512,1.8057524e-10
0.048006290313276204,220,False,18,selu,1.813902446493638e-05,17,11,2,Adagrad,10,replicate,leaky_relu,18,0.01050208336667148,-0.13022297620773315,-0.0011754549,245,0.08705925941467285,134.71412897109985,1709343172.284263,1709343306.6551986,[0.019080670084804296],[0.13022297620773315],"[-17092.412109375, -0.003803253173828125, -2.3688857555389404, -7.95253849029541, -9.022907257080078]",0.13039621710777283,-0.0008032485
0.6005546076389754,129,True,53,softshrink,0.00017569603953069494,4,12,11,AdamW,3,circular,selu,16,0.06801504817627978,-0.10162623971700668,5.7789784e-08,249,0.08711576461791992,135.4128541946411,1709343172.2858288,1709343307.3355289,[0.08794449376208442],[0.10162623971700668],"[-493322.21875, -25.505943298339844, -0.1601724624633789, -1.6804845333099365, -7.931756019592285]",0.10152698308229446,-2.1579759e-10
0.818084826227986,182,True,27,relu6,4.6754321686095715e-06,5,19,7,SGD,11,replicate,sigmoid,22,0.025420400014232628,-0.9025649428367615,2.6211728e-07,227,0.08678627014160156,135.5554735660553,1709343172.2861,1709343307.4968326,[0.7357810139656067],[0.9025649428367615],"[-2928618.0, -138.17697143554688, -12.783576011657715, -11.833608627319336, -162.2777099609375]",0.9032732844352722,-4.0086543e-09
0.19210675763275148,240,False,14,softplus,0.004332958857604207,17,32,4,AdamW,4,constant,hardtanh,17,0.07305483538823966,-0.06454086303710938,2.8877088e-07,14,0.08355903625488281,135.8294050693512,1709343172.280862,1709343307.7126663,[0.036575859878212214],[0.06454086303710938],"[-563081.125, -2.7083992958068848, -0.20655858516693115, -2.8457934856414795, -2.822277307510376]",0.06459861993789673,8.847566e-10
0.7110483097132344,102,False,12,logsigmoid,0.00027917809564909996,20,10,1,Adagrad,3,reflect,leaky_relu,26,0.00552935015550522,-0.10731064528226852,1.3930108e-07,317,0.08812832832336426,136.7155637741089,1709343172.2870746,1709343308.6565378,[0.08494821025265588],[0.10731064528226852],"[-1246036.25, -8.588851928710938, -0.21285343170166016, -1.1556408405303955, -23.59621238708496]",0.10738971829414368,5.0419957e-10
0.6113864886675922,61,True,13,elu,7.363018432317903e-05,6,31,14,Adagrad,14,replicate,squareplus,21,0.05486042151760702,-9.284586906433105,-2.4345954e-06,296,0.08780765533447266,137.2194766998291,1709343172.269435,1709343309.1606898,[5.8788242175661285],[9.284586906433105],"[-698635.375, -14.235885620117188, -168.55384826660156, -2333.19384765625, -1079.269775390625]",9.282673835754395,-6.230827e-07
0.5252030062400677,228,False,31,prelu,0.00140813009302935,6,17,6,Adam,11,constant,tanh,13,0.031906325370506465,-0.08973236382007599,0.008400861,186,0.08618950843811035,137.55753827095032,1709343172.3790355,1709343309.4980748,[0.03849535947665572],[0.08973236382007599],"[-249683.453125, -7.953655242919922, -1.022425889968872, -1.1437218189239502, -2.1361031532287598]",0.08990450948476791,0.004068363
0.9632277181740919,87,True,9,relu,9.758267147920314e-06,20,10,8,Adam,16,reflect,softplus,32,0.07307696358057096,-0.39823442697525024,1.6276068e-07,96,0.08485150337219238,139.4190375804901,1709343172.2836576,1709343311.359934,[0.3919437065720558],[0.39823442697525024],"[-4019324.5, -166.35238647460938, -0.010398268699645996, -0.729697585105896, -13.1771821975708]",0.39848649501800537,3.020041e-08
0.9115040299130993,60,False,8,tanhshrink,2.294120775641725e-06,32,27,1,SGD,2,constant,elu,9,0.0621988089549994,-0.05851287767291069,-1.4359601e-07,212,0.08657479286193848,144.03701305389404,1709343172.2842658,1709343315.9772642,[0.05374710248975918],[0.05851287767291069],"[-175355.703125, -7.664161682128906, -0.06314671039581299, -0.5725106000900269, -4.225593566894531]",0.05838107690215111,-1.3648284e-09
0.3545328995009834,24,False,18,silu,4.2451062291213754e-06,24,4,10,AdamW,12,reflect,elu,15,0.015906976345160608,-0.17031478881835938,2.929073e-07,61,0.08431386947631836,144.3670938014984,1709343172.2827778,1709343316.2791293,[0.061955358271729453],[0.17031478881835938],"[-567687.9375, -8.956847190856934, -3.197263240814209, -0.21367716789245605, -6.057953834533691]",0.17057284712791443,-3.653597e-11
0.844387412136366,154,False,14,hardtanh,1.709051063029308e-05,10,24,11,AdamW,11,reflect,selu,32,0.05009379734214625,-0.3363550007343292,-0.00406378,187,0.08620381355285645,144.36710834503174,1709343172.2673461,1709343316.1458056,[0.3552490199605624],[0.3363550007343292],"[-5671.42138671875, -158.6333770751953, -0.06899440288543701, -0.8972443342208862, -44.734439849853516]",0.3365621268749237,0.004764515
0.919065402456959,129,True,9,softshrink,0.0016524323125623342,27,26,1,Adagrad,12,replicate,threshold,4,0.026583522251846674,-0.7314152121543884,2.0330155e-07,381,0.08905768394470215,144.7830069065094,1709343172.270472,1709343316.4437923,[0.7033557508672986],[0.7314152121543884],"[-5251833.0, -221.25709533691406, -4.099243640899658, -22.974781036376953, -76.0746078491211]",0.7313126921653748,-2.4434657e-09
0.9483040926774218,142,False,37,softsign,0.0013171495247022661,5,23,2,SGD,3,replicate,leaky_relu,27,0.05463648026750464,-0.1034456342458725,-0.0014482395,380,0.08904337882995605,145.6983664035797,1709343172.2704713,1709343317.63939,[0.09994550450490071],[0.1034456342458725],"[-13738.1455078125, -1.5318195819854736, -1.941624641418457, -2.223743200302124, -0.3454638719558716]",0.10361722111701965,-0.0068706716
